City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
138,kimbe,-5.5502,150.1429,25.7,92,100,1.35,PG,1707567530
139,tindouf,27.6711,-8.1474,22.25,53,100,12.35,DZ,1707567530
140,pyt-yakh,60.7499,72.8582,-11.86,94,100,4.43,RU,1707567531
141,maloye ganyushkino,46.6,49.2667,1.35,86,100,4.28,KZ,1707567531
142,chonchi,-42.6128,-73.8092,14.06,80,81,1.27,CL,1707567397
143,mil'kovo,55.6078,37.7956,-8.65,87,73,1.47,RU,1707567531
144,demba,-5.51,22.2667,23.2,94,100,0.29,CD,1707567375
145,salalah,17.0151,54.0924,27.05,50,0,3.09,OM,1707567531
146,xilin hot,43.9667,116.0333,-15.21,89,21,4.39,CN,1707567531
147,ribeira grande,38.5167,-28.7,17.65,100,75,8.75,PT,1707567531
148,kruisfontein,-34.0033,24.7314,23.82,43,3,7.68,ZA,1707567531
149,malgrat de mar,41.6466,2.7414,14.99,76,54,0.89,ES,1707567532
150,dudinka,69.4058,86.1778,-24.07,84,100,4.02,RU,1707567532
151,rupert,42.6191,-113.6772,-2.03,86,100,2.57,US,1707567532
152,saint-joseph,-21.3667,55.6167,26.21,81,100,5.7,RE,1707567532
153,vadso,70.0744,29.7487,-12.91,85,75,2.57,NO,1707567532
154,ambodifotatra,-16.9833,49.85,27.23,87,100,3.83,MG,1707567532
155,luanda,-8.8368,13.2343,29.44,63,100,0.98,AO,1707567467
156,utrik,11.2278,169.8474,25.99,77,94,10.57,MH,1707567532
157,suva,-18.1416,178.4415,25.71,94,40,2.06,FJ,1707567532
158,pionerskiy,54.9508,20.2275,0.08,92,100,8.05,RU,1707567410
159,trujillo,-8.116,-79.03,22.98,88,75,3.6,PE,1707567365
160,libreville,0.3925,9.4537,28.57,76,78,2.79,GA,1707567497
161,machali,-34.1833,-70.6667,16.6,72,40,1.03,CL,1707567392
162,thompson,55.7435,-97.8558,-17.91,78,100,1.54,CA,1707567533
163,simiti,7.9579,-73.9436,25.04,77,63,1.01,CO,1707567533
164,sisimiut,66.9395,-53.6735,-20.84,81,95,5.84,GL,1707567533
165,sharm el-sheikh,27.8518,34.305,23.36,27,0,2.89,EG,1707567533
166,klaksvik,62.2266,-6.589,2.51,57,100,12.32,FO,1707567533
167,dawei,14.0833,98.2,25.35,80,36,1.09,MM,1707567533
168,kasane,-17.8167,25.15,35.05,36,75,1.54,BW,1707567533
169,gao,16.6362,1.637,30.74,6,0,2.43,ML,1707567533
170,mount pearl,47.5166,-52.7813,-3.91,95,100,3.09,CA,1707567397
171,nantucket,41.2835,-70.0995,4.44,100,0,4.12,US,1707567495
172,st. john's,47.5649,-52.7093,-3.45,95,100,2.06,CA,1707567533
173,menaka,15.9182,2.4022,31.5,6,0,2.76,ML,1707567534
174,berbera,10.4396,45.0143,27.65,72,48,8.15,SO,1707567534
175,norwalk,33.9022,-118.0817,12.33,80,0,1.54,US,1707567306
176,fortuna,40.5982,-124.1573,5.92,98,75,0.0,US,1707567534
177,kidal,18.4411,1.4078,29.3,5,0,2.45,ML,1707567534
178,kapuskasing,49.4169,-82.4331,0.05,100,100,2.57,CA,1707567534
179,kegen,43.0197,79.2203,-4.12,77,94,1.97,KZ,1707567534
180,mukalla,14.5425,49.1242,28.6,45,9,5.33,YE,1707567534
181,vilyuysk,63.7553,121.6247,-25.0,92,100,2.24,RU,1707567534
182,vorgashor,67.5833,63.95,-26.08,93,91,5.86,RU,1707567432
183,don luan,11.5333,106.9167,28.75,46,10,5.07,VN,1707567534
184,scicli,36.7902,14.7014,18.75,66,100,9.4,IT,1707567534
185,yamada,39.4667,141.95,2.03,96,99,2.58,JP,1707567534
186,le grau-du-roi,43.5388,4.1356,12.56,78,93,11.32,FR,1707567535
187,mount gambier,-37.8333,140.7667,12.23,97,1,1.61,AU,1707567535
188,inyonga,-6.7167,32.0667,25.87,71,96,1.87,TZ,1707567535
189,nemuro,43.3236,145.575,-2.69,81,100,4.14,JP,1707567535
190,georgetown,5.4112,100.3354,29.97,64,20,2.06,MY,1707567535
191,nishinoomote,30.7333,131.0,12.12,64,92,8.85,JP,1707567535
192,remire-montjoly,4.9167,-52.2667,29.02,74,75,5.66,GF,1707567535
193,bonthe,7.5264,-12.505,31.18,59,70,2.68,SL,1707567535
194,itoman,26.1247,127.6694,15.22,55,20,8.75,JP,1707567535
195,altai,46.3722,96.2583,-10.34,64,23,4.34,MN,1707567535
196,kavaratti,10.5669,72.642,28.23,72,54,2.77,IN,1707567535
197,riosucio,5.4216,-75.7032,15.29,95,63,0.82,CO,1707567535
198,port lincoln,-34.7333,135.8667,19.44,71,63,5.8,AU,1707567535
199,pacific grove,36.6177,-121.9166,9.14,89,0,2.57,US,1707567363
200,belel,7.05,14.4333,31.48,14,34,2.45,CM,1707567536
201,novoishimskiy,53.1981,66.7694,-16.94,91,48,4.65,KZ,1707567536
202,brisas de zicatela,15.8369,-97.0419,21.11,93,2,1.49,MX,1707567536
203,lihue,21.9789,-159.3672,20.77,88,100,3.09,US,1707567536
204,tyukhtet,56.5389,89.3011,-2.8,82,100,6.22,RU,1707567536
205,staroaleyskoye,51.0061,82.0,0.26,99,100,8.16,RU,1707567536
206,amble,55.3333,-1.5833,7.08,93,100,1.03,GB,1707567537
207,talnakh,69.4865,88.3972,-28.68,81,10,1.56,RU,1707567537
208,bontang,0.1333,117.5,26.33,86,100,1.7,ID,1707567537
209,poza rica de hidalgo,20.5332,-97.4595,20.61,97,98,2.6,MX,1707567537
210,puerto deseado,-47.7503,-65.8938,20.57,41,100,9.38,AR,1707567537
211,hilo,19.7297,-155.09,20.69,86,75,1.54,US,1707567537
212,zheleznodorozhnyy,55.7503,38.0042,-8.9,94,84,0.45,RU,1707567537
213,banamba,13.55,-7.45,34.34,5,0,4.07,ML,1707567438
214,jamestown,42.097,-79.2353,12.77,89,100,3.6,US,1707567529
215,tura,25.5198,90.2201,17.22,43,0,1.09,IN,1707567537
216,pathein,16.7833,94.7333,23.56,67,6,4.08,MM,1707567538
217,san mariano,7.5,126.0,22.68,88,43,2.17,PH,1707567538
218,puerto ayora,-0.7393,-90.3518,25.31,98,40,4.51,EC,1707567538
219,weissenfels,51.2,11.9667,15.77,77,100,0.45,DE,1707567538
220,koysinceq,36.0821,44.6278,16.24,41,84,0.93,IQ,1707567538
221,cill airne,52.05,-9.5167,7.03,100,100,3.09,IE,1707567538
222,island harbour,50.724,-1.2758,12.21,85,100,2.24,GB,1707567538
223,zhangjiajie,29.1294,110.4783,10.75,76,0,1.94,CN,1707567348
224,aurora,39.7294,-104.8319,-1.27,92,100,1.54,US,1707567379
225,ratnagiri,16.9833,73.3,26.73,59,2,8.97,IN,1707567538
226,arraial do cabo,-22.9661,-42.0278,24.98,88,75,7.72,BR,1707567539
227,buka,40.8108,69.1986,16.72,27,100,1.99,UZ,1707567375
228,corner brook,48.9667,-57.9484,-9.91,97,94,1.64,CA,1707567539
229,jalalaqsi,3.3766,45.5996,36.66,24,58,7.29,SO,1707567539
230,newman,37.3138,-121.0208,6.68,83,30,4.73,US,1707567539
231,sola,-13.8833,167.55,27.37,83,98,2.06,VU,1707567539
232,haiku-pauwela,20.9219,-156.3051,21.69,83,0,2.68,US,1707567539
233,dunedin,-45.8742,170.5036,7.67,81,83,4.02,NZ,1707567539
234,udachny,66.4167,112.4,-38.13,100,63,1.15,RU,1707567539
235,constantia,44.1833,28.65,17.61,39,100,4.26,RO,1707567539
236,ghat,24.9647,10.1728,27.84,7,79,3.64,LY,1707567539
237,"laikit, laikit ii (dimembe)",1.4792,124.9735,24.47,94,20,1.03,ID,1707567539
238,monduli,-3.3,36.45,29.98,31,14,5.48,TZ,1707567539
239,temryuk,45.2722,37.3811,14.12,78,62,8.93,RU,1707567539
240,paray-le-monial,46.4546,4.1158,11.1,96,75,1.54,FR,1707567539
241,san julian,21.0167,-102.1667,8.99,51,30,1.18,MX,1707567540
242,tazovsky,67.4667,78.7,-16.67,91,100,6.24,RU,1707567540
243,oranjemund,-28.55,16.4333,20.03,76,3,11.0,NA,1707567540
244,lerwick,60.1545,-1.1494,1.0,94,100,9.02,GB,1707567540
245,brookings,44.3114,-96.7984,-1.97,82,100,5.66,US,1707567321
246,kandyagash,49.4744,57.4233,-9.62,93,72,2.25,KZ,1707567540
247,recani,31.2846,-4.2688,21.3,25,79,2.14,MA,1707567540
248,pisco,-13.7,-76.2167,24.03,83,75,1.03,PE,1707567261
249,darwin,-12.4611,130.8418,28.99,84,75,3.6,AU,1707567122
250,chihuahua,28.5,-106.0,6.78,55,100,5.71,MX,1707567319
251,east london,-33.0153,27.9116,25.01,50,4,9.21,ZA,1707567541
252,taltal,-25.4,-70.4833,20.54,85,53,1.82,CL,1707567541
253,puerto armuelles,8.2833,-82.8667,27.27,68,54,0.45,PA,1707567541
254,tabou,4.423,-7.3528,30.35,67,15,2.74,CI,1707567541
255,karachev,53.1229,34.9852,-5.02,88,84,3.72,RU,1707567541
256,nar'yan-mar,67.6713,53.087,-22.72,99,64,3.58,RU,1707567541
257,tsiombe,-25.3,45.4833,29.86,66,57,5.39,MG,1707567541
258,outjo,-20.1167,16.15,34.07,28,39,3.01,NA,1707567541
259,envira,-7.3,-70.2167,24.22,97,100,0.11,BR,1707567541
260,bealanana,-14.55,48.7333,21.2,95,100,0.95,MG,1707567542
261,kalmunai,7.4167,81.8167,26.58,78,23,4.58,LK,1707567542
262,usogorsk,63.4106,48.6872,-13.52,95,100,2.24,RU,1707567542
263,puerto aysen,-45.4,-72.7,13.02,95,96,0.83,CL,1707567384
264,mansa,29.9833,75.3833,21.23,14,0,2.32,IN,1707567542
265,price,39.5994,-110.8107,-8.41,86,0,2.06,US,1707567543
266,crane,31.3974,-102.3501,12.21,53,100,8.37,US,1707567543
267,nova sintra,14.8667,-24.7167,20.38,72,0,10.28,CV,1707567543
